what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1513866831100
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1513866831100
java.vm.specification.version,sysinfo,,,"1.0",1513866831100
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1513866831100
java.vm.version,sysinfo,,,"17.0-b16",1513866831100
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1513866833495
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1513866865165
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1513866865167
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1513866866196
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1513866866212
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1513866866224
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1513866868779
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1513866936575
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1513866936575
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1513866936589
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1513866943216
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1513866944168
